Division,Sector,Program_Model,Overnight_Service_Type,Program_Area
1,Women,Transitional,Warming Centre,Base Program - Refugee
2,Mixed Adult,Transitional,24-Hour Respite,Base Shelter and Overnight Services System
3,Family,Emergency,24-Hour Women's Drop-in,Winter Response
4,Mixed Adult,Emergency,Shelter,Temporary Refugee Response
5,Mixed Adult,Emergency,24-Hour Women's Drop-in,Base Program - Refugee
6,Women,Emergency,Motel/Hotel,Base Shelter and Overnight Services System
7,Family,Emergency,Isolation/Recovery Site,Winter Response
8,Mixed Adult,Transitional,Shelter,COVID-19 Response
9,Women,Emergency,Warming Centre,Base Shelter and Overnight Services System
10,Family,Emergency,Isolation/Recovery Site,Temporary Refugee Response
11,Men,Emergency,24-Hour Women's Drop-in,Winter Response
12,Men,Transitional,24-Hour Women's Drop-in,Temporary Refugee Response
13,Youth,Emergency,24-Hour Women's Drop-in,COVID-19 Response
14,Mixed Adult,Transitional,Isolation/Recovery Site,Winter Response
15,Women,Transitional,Warming Centre,Temporary Refugee Response
16,Mixed Adult,Emergency,Isolation/Recovery Site,Temporary Refugee Response
17,Men,Transitional,Shelter,Base Program - Refugee
18,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response
19,Men,Transitional,Isolation/Recovery Site,Winter Response
20,Women,Emergency,Motel/Hotel,Base Program - Refugee
21,Family,Transitional,Interim Housing,Temporary Refugee Response
22,Mixed Adult,Emergency,Interim Housing,Temporary Refugee Response
23,Family,Transitional,24-Hour Women's Drop-in,Base Program - Refugee
24,Men,Emergency,Motel/Hotel,COVID-19 Response
25,Mixed Adult,Transitional,Isolation/Recovery Site,Base Program - Refugee
26,Youth,Transitional,Isolation/Recovery Site,COVID-19 Response
27,Mixed Adult,Emergency,24-Hour Women's Drop-in,Base Shelter and Overnight Services System
28,Mixed Adult,Transitional,24-Hour Respite,Base Shelter and Overnight Services System
29,Family,Emergency,Isolation/Recovery Site,COVID-19 Response
30,Family,Emergency,Warming Centre,Temporary Refugee Response
31,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System
32,Women,Emergency,Interim Housing,Base Program - Refugee
33,Women,Transitional,Warming Centre,COVID-19 Response
34,Family,Emergency,Warming Centre,COVID-19 Response
35,Youth,Emergency,Warming Centre,Base Shelter and Overnight Services System
36,Youth,Transitional,Interim Housing,Temporary Refugee Response
37,Family,Emergency,Warming Centre,Winter Response
38,Women,Emergency,Motel/Hotel,COVID-19 Response
39,Youth,Transitional,24-Hour Women's Drop-in,Base Program - Refugee
40,Mixed Adult,Emergency,Warming Centre,Base Program - Refugee
41,Family,Emergency,Shelter,Base Shelter and Overnight Services System
42,Women,Transitional,24-Hour Respite,COVID-19 Response
43,Mixed Adult,Transitional,Interim Housing,Base Shelter and Overnight Services System
44,Men,Emergency,Motel/Hotel,Winter Response
45,Men,Emergency,Interim Housing,Base Shelter and Overnight Services System
46,Youth,Emergency,24-Hour Women's Drop-in,Temporary Refugee Response
47,Family,Transitional,Isolation/Recovery Site,Base Shelter and Overnight Services System
48,Youth,Emergency,Shelter,COVID-19 Response
49,Men,Emergency,24-Hour Respite,Winter Response
50,Youth,Transitional,Shelter,Temporary Refugee Response
51,Women,Transitional,24-Hour Respite,Base Shelter and Overnight Services System
52,Mixed Adult,Transitional,Isolation/Recovery Site,Winter Response
53,Men,Transitional,24-Hour Women's Drop-in,Winter Response
54,Mixed Adult,Transitional,Shelter,COVID-19 Response
55,Men,Transitional,Interim Housing,Winter Response
56,Men,Emergency,24-Hour Women's Drop-in,Base Shelter and Overnight Services System
57,Youth,Transitional,24-Hour Women's Drop-in,COVID-19 Response
58,Women,Transitional,24-Hour Respite,Base Program - Refugee
59,Women,Emergency,Motel/Hotel,Temporary Refugee Response
60,Mixed Adult,Transitional,Interim Housing,Base Shelter and Overnight Services System
61,Mixed Adult,Transitional,24-Hour Respite,Temporary Refugee Response
62,Women,Transitional,Isolation/Recovery Site,Temporary Refugee Response
63,Women,Emergency,24-Hour Respite,Temporary Refugee Response
64,Youth,Emergency,Motel/Hotel,Temporary Refugee Response
65,Family,Emergency,Warming Centre,COVID-19 Response
66,Women,Transitional,Isolation/Recovery Site,Winter Response
67,Women,Emergency,Motel/Hotel,Winter Response
68,Family,Emergency,Warming Centre,COVID-19 Response
69,Family,Transitional,24-Hour Women's Drop-in,Base Program - Refugee
70,Family,Transitional,Interim Housing,COVID-19 Response
71,Youth,Emergency,24-Hour Women's Drop-in,Base Program - Refugee
72,Youth,Transitional,Interim Housing,Base Program - Refugee
73,Mixed Adult,Emergency,Isolation/Recovery Site,Base Program - Refugee
74,Women,Emergency,24-Hour Respite,COVID-19 Response
75,Youth,Emergency,Interim Housing,Base Program - Refugee
76,Mixed Adult,Transitional,Warming Centre,Base Program - Refugee
77,Women,Transitional,24-Hour Respite,Winter Response
78,Women,Emergency,Warming Centre,Base Program - Refugee
79,Men,Transitional,Motel/Hotel,Winter Response
80,Family,Transitional,Interim Housing,Winter Response
81,Mixed Adult,Emergency,Motel/Hotel,Winter Response
82,Mixed Adult,Emergency,Warming Centre,Temporary Refugee Response
83,Family,Emergency,24-Hour Respite,Winter Response
84,Women,Transitional,Interim Housing,Base Program - Refugee
85,Women,Transitional,24-Hour Women's Drop-in,COVID-19 Response
