Date,Shelter_ID,Capacity_Beds,Occupied_Beds,Capacity_Rooms,Occupied_Rooms,Unoccupied_Beds,Unoccupied_Rooms
2023-01-01,1000,115,78,68,51,37,17
2023-01-02,1000,125,69,63,28,56,35
2023-01-03,1000,120,87,89,29,33,60
2023-01-04,1000,140,85,100,34,55,66
2023-01-05,1000,107,91,98,36,16,62
2023-01-06,1000,103,68,91,35,35,56
2023-01-07,1000,113,78,61,38,35,23
2023-01-08,1000,120,70,92,35,50,57
2023-01-09,1000,102,84,95,35,18,60
2023-01-10,1000,129,72,81,40,57,41
2023-01-11,1000,138,101,78,56,37,22
2023-01-12,1000,116,107,68,41,9,27
2023-01-13,1000,113,76,94,27,37,67
2023-01-14,1000,123,86,99,38,37,61
2023-01-15,1000,111,69,88,37,42,51
2023-01-16,1000,123,96,83,47,27,36
2023-01-17,1000,101,79,98,39,22,59
2023-01-18,1000,125,84,70,40,41,30
2023-01-19,1000,117,80,90,39,37,51
2023-01-20,1000,106,77,89,32,29,57
2023-01-21,1000,123,85,56,38,38,18
2023-01-22,1000,126,64,84,38,62,46
2023-01-23,1000,130,75,95,46,55,49
2023-01-24,1000,143,68,92,43,75,49
2023-01-25,1000,103,76,96,47,27,49
2023-01-26,1000,142,86,59,51,56,8
2023-01-27,1000,104,69,74,41,35,33
2023-01-28,1000,136,80,88,37,56,51
2023-01-29,1000,133,83,56,44,50,12
2023-01-30,1000,132,84,91,39,48,52
2023-01-31,1000,130,102,67,32,28,35
2023-02-01,1000,147,74,79,30,73,49
2023-02-02,1000,146,80,93,40,66,53
2023-02-03,1000,132,86,97,40,46,57
2023-02-04,1000,122,81,57,42,41,15
2023-02-05,1000,143,96,88,36,47,52
2023-02-06,1000,147,91,61,39,56,22
2023-02-07,1000,128,66,58,34,62,24
2023-02-08,1000,120,73,71,34,47,37
2023-02-09,1000,123,77,82,34,46,48
2023-02-10,1000,104,68,57,38,36,19
2023-02-11,1000,118,79,74,38,39,36
2023-02-12,1000,120,91,58,35,29,23
2023-02-13,1000,150,98,76,44,52,32
2023-02-14,1000,102,78,100,33,24,67
2023-02-15,1000,127,66,68,42,61,26
2023-02-16,1000,104,84,81,35,20,46
2023-02-17,1000,135,90,78,37,45,41
2023-02-18,1000,119,89,51,41,30,10
2023-02-19,1000,113,97,50,42,16,8
2023-02-20,1000,140,83,80,35,57,45
2023-02-21,1000,138,85,77,34,53,43
2023-02-22,1000,116,87,70,36,29,34
2023-02-23,1000,106,71,85,39,35,46
2023-02-24,1000,113,84,85,50,29,35
2023-02-25,1000,122,75,50,39,47,11
2023-02-26,1000,146,70,64,38,76,26
2023-02-27,1000,111,81,77,50,30,27
2023-02-28,1000,112,72,64,36,40,28
2023-03-01,1000,119,92,94,43,27,51
2023-03-02,1000,137,66,53,51,71,2
2023-03-03,1000,141,72,99,36,69,63
2023-03-04,1000,149,86,54,42,63,12
2023-03-05,1000,113,82,83,32,31,51
2023-03-06,1000,124,77,96,36,47,60
2023-03-07,1000,144,86,52,43,58,9
2023-03-08,1000,116,75,67,38,41,29
2023-03-09,1000,133,94,69,44,39,25
2023-03-10,1000,132,70,71,36,62,35
2023-03-11,1000,111,68,99,35,43,64
2023-03-12,1000,129,71,66,37,58,29
2023-03-13,1000,129,80,92,42,49,50
2023-03-14,1000,141,72,73,34,69,39
2023-03-15,1000,147,90,87,43,57,44
2023-03-16,1000,112,74,89,31,38,58
2023-03-17,1000,138,78,63,52,60,11
2023-03-18,1000,109,89,96,39,20,57
2023-03-19,1000,113,77,72,33,36,39
2023-03-20,1000,144,77,57,34,67,23
2023-03-21,1000,118,68,64,31,50,33
2023-03-22,1000,143,59,82,37,84,45
2023-03-23,1000,144,81,52,40,63,12
2023-03-24,1000,120,99,55,54,21,1
2023-03-25,1000,139,80,56,37,59,19
2023-03-26,1000,101,89,97,52,12,45
2023-03-27,1000,113,86,77,45,27,32
2023-03-28,1000,126,88,65,26,38,39
2023-03-29,1000,117,72,91,41,45,50
2023-03-30,1000,141,84,53,37,57,16
2023-03-31,1000,150,80,97,38,70,59
2023-04-01,1000,147,82,71,34,65,37
2023-04-02,1000,128,93,72,46,35,26
2023-04-03,1000,126,53,89,40,73,49
2023-04-04,1000,113,75,52,39,38,13
2023-04-05,1000,124,77,87,41,47,46
2023-04-06,1000,118,82,94,34,36,60
2023-04-07,1000,109,76,72,49,33,23
2023-04-08,1000,119,66,64,44,53,20
2023-04-09,1000,137,80,93,47,57,46
2023-04-10,1000,115,93,93,36,22,57
2023-04-11,1000,110,78,59,35,32,24
2023-04-12,1000,105,73,93,50,32,43
2023-04-13,1000,121,85,86,45,36,41
2023-04-14,1000,141,71,50,39,70,11
2023-04-15,1000,104,82,75,48,22,27
2023-04-16,1000,121,80,52,43,41,9
2023-04-17,1000,125,81,95,33,44,62
2023-04-18,1000,109,83,87,31,26,56
2023-04-19,1000,118,76,67,47,42,20
2023-04-20,1000,130,81,95,44,49,51
2023-04-21,1000,125,87,75,39,38,36
2023-04-22,1000,136,88,58,52,48,6
2023-04-23,1000,149,93,68,44,56,24
2023-04-24,1000,115,86,96,39,29,57
2023-04-25,1000,146,93,80,36,53,44
2023-04-26,1000,100,82,98,48,18,50
2023-04-27,1000,115,81,99,49,34,50
2023-04-28,1000,102,72,67,35,30,32
2023-04-29,1000,150,88,65,30,62,35
2023-04-30,1000,140,77,77,27,63,50
2023-05-01,1000,130,112,98,31,18,67
2023-05-02,1000,102,78,54,39,24,15
2023-05-03,1000,119,99,94,42,20,52
2023-05-04,1000,125,72,70,32,53,38
2023-05-05,1000,100,68,76,35,32,41
2023-05-06,1000,142,77,88,28,65,60
2023-05-07,1000,135,77,74,34,58,40
2023-05-08,1000,100,96,70,39,4,31
2023-05-09,1000,132,86,72,34,46,38
2023-05-10,1000,141,90,68,42,51,26
2023-05-11,1000,141,90,93,48,51,45
2023-05-12,1000,132,84,54,39,48,15
2023-05-13,1000,119,87,93,33,32,60
2023-05-14,1000,150,92,83,42,58,41
2023-05-15,1000,145,80,65,41,65,24
2023-05-16,1000,128,80,91,46,48,45
2023-05-17,1000,126,80,88,43,46,45
2023-05-18,1000,134,68,91,35,66,56
2023-05-19,1000,138,83,54,33,55,21
2023-05-20,1000,143,79,77,39,64,38
2023-05-21,1000,126,90,80,44,36,36
2023-05-22,1000,124,76,90,38,48,52
2023-05-23,1000,107,87,73,36,20,37
2023-05-24,1000,137,75,91,38,62,53
2023-05-25,1000,118,75,94,53,43,41
2023-05-26,1000,124,89,72,39,35,33
2023-05-27,1000,132,81,56,37,51,19
2023-05-28,1000,124,92,57,41,32,16
2023-05-29,1000,120,69,75,39,51,36
2023-05-30,1000,125,80,57,46,45,11
2023-05-31,1000,101,85,100,49,16,51
2023-06-01,1000,128,110,62,39,18,23
2023-06-02,1000,122,75,84,37,47,47
2023-06-03,1000,118,92,67,43,26,24
2023-06-04,1000,138,87,66,42,51,24
2023-06-05,1000,129,76,88,36,53,52
2023-06-06,1000,126,90,81,45,36,36
2023-06-07,1000,133,67,59,39,66,20
2023-06-08,1000,124,77,71,34,47,37
2023-06-09,1000,130,75,80,43,55,37
2023-06-10,1000,126,73,54,41,53,13
2023-06-11,1000,122,79,78,38,43,40
2023-06-12,1000,143,91,63,36,52,27
2023-06-13,1000,133,90,71,34,43,37
2023-06-14,1000,150,78,76,46,72,30
2023-06-15,1000,111,64,86,55,47,31
2023-06-16,1000,141,80,74,41,61,33
2023-06-17,1000,100,97,66,38,3,28
2023-06-18,1000,109,83,60,54,26,6
2023-06-19,1000,132,80,59,41,52,18
2023-06-20,1000,147,64,61,34,83,27
2023-06-21,1000,118,70,59,35,48,24
2023-06-22,1000,138,77,68,36,61,32
2023-06-23,1000,134,83,67,40,51,27
2023-06-24,1000,134,90,50,40,44,10
2023-06-25,1000,116,83,100,39,33,61
2023-06-26,1000,101,77,72,39,24,33
2023-06-27,1000,143,95,57,41,48,16
2023-06-28,1000,102,74,65,40,28,25
2023-06-29,1000,142,88,55,38,54,17
2023-06-30,1000,105,70,96,45,35,51
2023-07-01,1000,105,60,85,43,45,42
2023-07-02,1000,112,67,82,40,45,42
2023-07-03,1000,128,79,87,38,49,49
2023-07-04,1000,119,83,52,43,36,9
2023-07-05,1000,110,72,94,48,38,46
2023-07-06,1000,124,84,76,34,40,42
2023-07-07,1000,101,78,54,50,23,4
2023-07-08,1000,121,89,59,45,32,14
2023-07-09,1000,100,61,93,45,39,48
2023-07-10,1000,149,61,77,28,88,49
2023-07-11,1000,146,85,83,52,61,31
2023-07-12,1000,129,79,86,25,50,61
2023-07-13,1000,137,63,78,54,74,24
2023-07-14,1000,123,90,84,45,33,39
2023-07-15,1000,142,80,75,41,62,34
2023-07-16,1000,147,71,75,37,76,38
2023-07-17,1000,140,70,51,28,70,23
2023-07-18,1000,128,81,62,34,47,28
2023-07-19,1000,145,72,61,44,73,17
2023-07-20,1000,136,87,54,40,49,14
2023-07-21,1000,115,74,97,40,41,57
2023-07-22,1000,133,95,100,35,38,65
