Date,Shelter_ID,Capacity_Beds,Occupied_Beds,Capacity_Rooms,Occupied_Rooms,Unoccupied_Beds,Unoccupied_Rooms,Bed_Occupancy_Rate,Room_Occupancy_Rate,Service_User_Count
2023-01-01,1000,127,86,63,30,41,33,0.6771653543307087,0.47619047619047616,116
2023-01-02,1000,115,70,52,51,45,1,0.6086956521739131,0.9807692307692307,121
2023-01-03,1000,121,77,61,36,44,25,0.6363636363636364,0.5901639344262295,113
2023-01-04,1000,136,80,60,46,56,14,0.5882352941176471,0.7666666666666667,126
2023-01-05,1000,143,92,84,49,51,35,0.6433566433566433,0.5833333333333334,141
2023-01-06,1000,146,70,81,33,76,48,0.4794520547945205,0.4074074074074074,103
2023-01-07,1000,108,89,52,50,19,2,0.8240740740740741,0.9615384615384616,139
2023-01-08,1000,104,94,86,47,10,39,0.9038461538461539,0.5465116279069767,141
2023-01-09,1000,137,75,52,43,62,9,0.5474452554744526,0.8269230769230769,118
2023-01-10,1000,115,77,89,34,38,55,0.6695652173913044,0.38202247191011235,111
2023-01-11,1000,103,69,51,31,34,20,0.6699029126213593,0.6078431372549019,100
2023-01-12,1000,133,85,75,37,48,38,0.6390977443609023,0.49333333333333335,122
2023-01-13,1000,138,78,70,44,60,26,0.5652173913043478,0.6285714285714286,122
2023-01-14,1000,121,93,57,45,28,12,0.768595041322314,0.7894736842105263,138
2023-01-15,1000,125,81,50,31,44,19,0.648,0.62,112
2023-01-16,1000,105,68,63,29,37,34,0.6476190476190476,0.4603174603174603,97
2023-01-17,1000,114,83,67,34,31,33,0.7280701754385965,0.5074626865671642,117
2023-01-18,1000,113,70,51,39,43,12,0.6194690265486725,0.7647058823529411,109
2023-01-19,1000,113,92,60,36,21,24,0.8141592920353983,0.6,128
2023-01-20,1000,103,101,84,43,2,41,0.9805825242718447,0.5119047619047619,144
2023-01-21,1000,103,77,55,45,26,10,0.7475728155339806,0.8181818181818182,122
2023-01-22,1000,120,80,73,44,40,29,0.6666666666666666,0.6027397260273972,124
2023-01-23,1000,139,72,87,55,67,32,0.5179856115107914,0.632183908045977,127
2023-01-24,1000,119,83,63,44,36,19,0.6974789915966386,0.6984126984126984,127
2023-01-25,1000,102,81,90,43,21,47,0.7941176470588235,0.4777777777777778,124
2023-01-26,1000,135,85,54,37,50,17,0.6296296296296297,0.6851851851851852,122
2023-01-27,1000,130,81,83,40,49,43,0.6230769230769231,0.4819277108433735,121
2023-01-28,1000,128,69,95,44,59,51,0.5390625,0.4631578947368421,113
2023-01-29,1000,104,79,59,42,25,17,0.7596153846153846,0.711864406779661,121
2023-01-30,1000,101,68,77,38,33,39,0.6732673267326733,0.4935064935064935,106
